音标,word,meaning,pos,例句,词组
,perception,感知,n.,"Our understanding and interpretation of reality can be heavily influenced by our perception.
我们对现实的理解和解释可能会深受感知的影响。","be influenced by 被……影响
understanding of 对……的理解
interpretation of 对……的解释"
/ˈdʒenjuɪn/,genuine,真正的,adj.,"The artist always strives to produce genuinely unique works of art.
艺术家总是努力创作出真正独一无二的艺术作品。","strive to 努力做某事
works of art 艺术作品"
,heritage,遗产,n.,"Our cultural heritage is reflected in the traditional festivals we celebrate.
我们的文化遗产体现在我们庆祝的传统节日中。","be reflected in 体现在……中
celebrate festivals 庆祝节日
cultural heritage 文化遗产
traditional festivals 传统节日"
,barrier,障碍,n.,"The heavy snowstorm turned the mountain path into a barrier.
猛烈的暴风雪使山路变成了一道障碍。",turn...into 使……变成……
,tremendous,巨大的,adj.,"The fireworks display was truly tremendous, lighting up the entire night sky.
烟花表演确实非常壮观，照亮了整个夜空。",light up 照亮
,transition,过渡,n.,"The company is currently undergoing a major transition from a small startup to a large corporation.
企业正在经历从小型初创公司向大型公司的重大转变。","undergo a transition 经历转变
from...to... 从……到……
a major transition 重大转变
small startup 小型初创公司
large corporation 大型企业"
,holiday,假日,n.,"We're looking forward to our holiday in Hawaii.
我们期待着在夏威夷的假期。","look forward to 期待
in Hawaii 在夏威夷"
,differ,不同,v.,"Their views on the project differ significantly.
他们对这个项目的看法大不相同。",views on 对……的看法
,soil,土壤,n.,"The soil was rich in nutrients, allowing the crops to grow rapidly.
土壤富含营养，使作物能够快速生长。","be rich in 富含
allow to grow 允许生长
grow rapidly 快速生长"
,restrict,限制,v.,"The new policy is designed to restrict the amount of plastic waste that can be dumped into the ocean.
新政策旨在限制可以倾倒到海洋中的塑料垃圾的数量。","be designed to 旨在
restrict the amount of 限制……的数量
dump into 倾倒到"
,swing,摇摆,v.,"The children love to swing on the swings in the playground.
孩子们喜欢在游乐场荡秋千。","love to 喜欢做某事
swing on 在……上荡秋千
in the playground 在游乐场里"
,radiation,辐射,n.,"Radiation from the sun causes sunburns on human skin.
阳光辐射会导致人体皮肤晒伤。","from the sun 来自太阳的
cause sunburns 导致晒伤
on human skin 在人体皮肤上"
,translate,翻译,v.,"She can translate documents from several languages.
她可以翻译多种语言的文件。","translate documents 翻译文件
from several languages 来自多种语言"
,dialogue,对话,n.,"In a well-crafted scene, the dialogue flowed smoothly and brought the characters to life.
对话写得恰到好处，自然流畅且生动，使角色栩栩如生。","in a well-crafted scene 在精心设计的场景中
flow smoothly 流畅地进行
bring to life 使生动起来"
/məˈlekjələ(r)/,molecular,分子的,adj.,"The molecule is the basic unit of matter that consists of two or more atoms chemically bonded in a molecular structure.
分子是物质的基本单位，它由两个或更多个原子在分子结构中以化学键连接而成。","consist of 由……组成
bond in 在……中结合"
,manipulation,操纵,n.,"He often uses his charm to manipulate people into doing what he wants.
他经常利用自己的魅力操纵他人，使其按自己的意愿行事。",manipulate into doing 操控某人做某事
,exploration,探索,n.,"Humans have been engaging in exploration of space for decades.
人类进行太空探索已有几十年了。","engage in 从事，参与
exploration of space 太空探索
for decades 数十年来"
,drill,钻,v.,"She needs to use a drill to fix the loose screws on the table.
她需要使用钻机来固定桌子上的松动螺丝。","need to use 需要使用
fix the loose screws 修理松动的螺丝
on the table 在桌子上"
,offset,抵消,v.,"The company decided to offset the costs of the new project by cutting back on unnecessary expenses.
公司决定通过减少不必要的开支来抵消新项目的成本。","offset the costs 对冲成本
cut back on 削减"
,curse,诅咒,n.,"She thought the strange noise was a curse that would haunt her forever.
她认为那奇怪的声音是一个会困扰她一辈子的诅咒。","be a curse 是诅咒
haunt forever 永远困扰"
,bedroom,卧室,n.,"Her favorite room in the house is her big bedroom.
她最喜欢的房间是她家里的大卧室。",in the house 在房子里
,bored,无聊的,adj.,"The kids started to get bored with the same old playground.
孩子们开始对那个老旧的游乐场感到玩腻了。","start to 开始做某事
get bored with 对...感到无聊
the same old 同样的老一套"
,knock,敲,v.,"She gently knocked on the door to wake him up.
她轻轻地敲门来叫醒他。","knock on the door 敲门
wake up 醒来"
/əˈtætʃ/,attach,附上,v.,"She carefully attach the photo to the album.
她小心地把照片贴到相册上。",attach to 附上
,beam,光束,n.,"The beam of light cut through the darkness.
一束光划破了黑暗。",cut through 穿过
,boost,提升,v.,"The new exercise routine gave her the energy to boost her endurance.
新的锻炼计划让她有了提升耐力的精力。","give the energy to 给予做某事的能量
boost endurance 增强耐力"
,cave,洞穴,n.,"The explorer went into a deep cave to find fossils.
探险家进入一个很深的洞穴寻找化石。",go into 进入
,distinct,明显的,adj.,"The Eiffel Tower is a distinctly architectural wonder in Paris.
埃菲尔铁塔是巴黎一个独特的建筑奇迹。","architectural wonder 建筑奇迹
in Paris 在巴黎"
,grass,草,n.,"The children played on the lush green grass.
儿童在绿油油的草地上玩。","play on 在……上玩耍
on the grass 在草地上"
,habit,习惯,n.,"She has a habit of biting her nails when she's nervous.
她有一个习惯，紧张时会咬指甲。","have a habit of 有……的习惯
bite one's nails 咬指甲
be nervous 紧张"
,infrastructure,基础设施,n.,"The country's infrastructure has been improving significantly over the past decade.
基础设施近十年来显著改善。",over the past decade 在过去的十年里
,nineteenth,第十九,adj.,"The nineteenth century saw significant advancements in science and technology.
十九世纪见证了科学技术的重大进步。","see advancements in 在……方面见证进展
advancements in 在……方面的进展
science and technology 科学技术"
,nurse,护士,n.,"The nurse carefully monitored her patient's condition during the night.
护士在夜里小心地监测患者的病情。","monitor a patient's condition 观察患者病情
during the night 在夜里"
,profession,职业,n.,"She decided to pursue a career in law as a profession.
她决定从事法律职业，将其作为自己的职业追求。","decide to pursue 决定追求
pursue a career 追求事业
a career in law 法律领域的事业
as a profession 作为一种职业"
,promotion,晋升,n.,"The company recently promoted her to a senior marketing position.
公司最近将她提升至高级市场营销职位。","promote to 提升到（某职位）
marketing position 市场营销职位"
,remind,提醒,v.,"She will remind you about the meeting tomorrow morning.
她明天早上会提醒你会议的事。",remind sb. about sth. 提醒……关于……
,tale,故事,n.,"She spun a captivating tale about her adventure in the forest.
她讲述了一个关于她在森林中冒险的引人入胜的故事。","spin a tale 讲述故事
in the forest 在森林里"
,tropical,热带的,adj.,"The lush islands in the Pacific are known for their tropical climate.
太平洋中郁郁葱葱的岛屿以其热带气候而闻名。","be known for 以……闻名
in the Pacific 在太平洋"
/ˈkænəpi/,canopy,树冠,n.,"The tree's broad canopy provided a cool and shaded area for people to rest.
树的宽大树冠为人们提供了一个凉爽阴凉的休息处。","provide for 为……提供
shaded area 阴凉处
rest 休息"
/plʌndʒ/,plunge,暴跌,v.,"She took a deep breath and plunged into the icy water.
她深吸一口气，跳入冰冷的水中。","take a deep breath 深吸一口气
plunge into 跳入"
/ˈfeɪbld/,fabled,传说中的,adj.,"The city of gold at the end of the rainbow is a fabled treasure.
彩虹尽头的黄金之城是一个传说中的宝藏。",at the end of the rainbow 在彩虹的尽头
,sleek,光滑的,adj.,"The new sports car has a sleek design that turns heads on the road.
这辆新款运动汽车拥有流线型设计，在路上引人注目。","turn heads 引人注目
on the road 在路上"
,dental,牙齿的,adj.,"She visited the dental clinic for a regular checkup.
她去了牙科诊所进行常规检查。","visit the dental clinic 访问牙科诊所
for a regular checkup 为了定期检查"
/kaʊtʃ/,couch,沙发,n.,"She fell asleep on the couch while watching TV.
她在沙发上看电视时睡着了。","fall asleep 入睡
on the couch 在沙发上
watch TV 看电视"
,professorship,教授职位,n.,"The appointment to a professorship usually requires a rigorous academic evaluation.
教授职位的任命通常需要严格的学术评估。","appointment to 被任命到
require rigorous academic evaluation 需要严格的学术评估"
/ˈɑːmənd/,almond,杏仁,n.,"Almond cake is very popular in many bakeries.
杏仁蛋糕在许多面包店里非常受欢迎。",be popular 受欢迎
,acoustics,声学,n.,"The auditorium's design took into account the principles of acoustics.
礼堂的设计考虑了声学原理。",take into account 考虑到
,energetic,精力充沛的,adj.,"She has an energetic personality that makes her stand out in social events.
她有着充满活力的个性，使她在社交场合脱颖而出。","stand out 脱颖而出
in social events 在社交场合"
,conversational,会话的,adj.,"She wrote the conversational dialogue in the novel to make it feel more authentic.
她在小说中写的对白让这本小说感觉更真实。","write the conversational dialogue 写对白
make...feel 让……感觉
in the novel 在小说中"
/təʊˈtæləti/,totality,整体,n.,"The total solar eclipse revealed the totality of the sun's corona, a breathtaking sight.
日全食展现了日冕的全部，这是一个令人叹为观止的景象。","reveal the totality of 揭示……的全貌
total solar eclipse 日全食
sun's corona 日冕
breathtaking sight 令人屏息的景象"
,criminology,犯罪学,n.,"Criminologists study the behavior and motivations of individuals who commit crimes every day.
犯罪学家每天研究犯罪者的行为和动机。","study behavior and motivations 研究行为和动机
commit crimes 犯罪"
,narrowness,狭窄,n.,"The city's narrowness made it difficult to expand its population.
城市的狭窄使其难以增加人口。","make it difficult to 使……变得困难
expand its population 扩大其人口"
,grave,坟墓,n.,"The tourists visited the grave of the old soldier who had fallen in battle.
游客参观了那名阵亡老兵的墓地。","visit the grave 参观墓地
fall in battle 阵亡"
,polite,有礼貌的,adj.,"She always tries to be polite when interacting with her customers.
她对待顾客时总是很有礼貌。","try to be polite 试图有礼貌
interact with 与……互动"
/rɪˈbaʊnd/,rebound,反弹,v.,"She took time to reflect and eventually rebounded from the emotional pain.
她花了时间反思，并最终从情感痛苦中恢复过来。","take time to 花时间做某事
rebound from 从……恢复"
,suction,吸力,n.,"The vacuum cleaner's suction power is too weak to pick up the debris.
吸尘器的吸力太弱，无法吸起垃圾。","be too weak to 太弱以至于不能
pick up 捡起，拾起"
/ɔːˈrɔːrə/,aurora,极光,n.,"The northern lights displayed a breathtaking aurora in the night sky.
北极光在夜空中展现了一场令人叹为观止的极光。","display a breathtaking aurora 展示令人惊叹的极光
in the night sky 在夜空中
indicate that 表明
mostly come from 多来自"
/məˈleəriə/,malaria,疟疾,n.,"Malaria outbreaks often occur in tropical regions with poor sanitation.
疟疾常在卫生条件较差的热带地区爆发。","occur in 发生在
in tropical regions 在热带地区
with poor sanitation 卫生条件差"
/ˈbaʊnti/,bounty,赏金,n.,"The police offered a significant bounty for the capture of the escaped convict.
警察为抓捕逃犯提供了高额赏金。","offer a bounty for 悬赏缉捕
for the capture of 为了抓捕
escaped convict 逃犯"
,treatable,可治疗的,adj.,"The disease is now treatable with modern medical technology.
疾病现在可以用现代医疗技术进行治疗。",treat with 用……治疗
,carelessness,粗心,n.,"Her carelessness led to the accident.
她的粗心导致了事故。",lead to 导致
/trɔːl/,trawl,拖网,n.,"The researchers spent a week trawling through the old archives to find the lost documents.
研究人员花了一周的时间翻阅旧档案，以找出丢失的文件。","spend a week 花费一周时间
trawl through 仔细翻阅"
/ˈpærəsaɪt/,parasite,寄生虫,n.,"Many insects, such as fleas and ticks, are external parasites that live on animals.
很多昆虫，如跳蚤和蜱虫，是外寄生虫，生活在动物体表。","such as 例如
live on 以……为生；生活在……上"
,deform,变形,v.,"The storm caused a landslide that deformed the nearby road.
风暴引起山体滑坡，使附近的道路变形。",cause a landslide 引起山体滑坡
,radiant,光芒四射的,adj.,"The sunset created a radiant glow over the ocean.
夕阳在海面上洒下一片灿烂的光辉。","create a radiant glow 产生耀眼的光芒
over the ocean 在海洋上方；海面上"
,recorder,录音机,n.,"The child learned to play the recorder in her music class.
小孩在音乐课上学吹竖笛。","learn to play 学习做某事
play the recorder 演奏口琴
in music class 在音乐课上"
/ˌkəʊəˈlɪʃ(ə)n/,coalition,联盟,n.,"The two rival parties formed a coalition to secure a majority in the parliament.
两个敌对政党组成联盟，以在议会中确保多数。","form a coalition 组建联合政府
secure a majority 确保多数
in the parliament 在议会中"
,sedimentary,沉积的,adj.,"The layers of rocks in the canyon are primarily composed of sedimentary materials.
峡谷中的岩石层主要由沉积物材料组成。",be composed of 由……组成
/ˈɡriːsi/,greasy,油腻的,adj.,"The car's engine is getting greasy due to lack of oil change.
机油都没有换过，汽车的发动机正变得油腻。","get greasy 变油腻
due to 由于
lack of 缺乏"
/stɑːtʃ/,starch,淀粉,n.,"Potato contains a lot of starch.
土豆含有很多淀粉。","contain 包含
a lot of 很多"
/ɔːˈdæsəti/,audacity,大胆,n.,"She showed incredible audacity when she decided to run for the election without any prior experience.
她展现出令人难以置信的胆识，当她在毫无经验的情况下决定参加选举时。","show audacity 表现出胆识
run for the election 参加选举
without prior experience 毫无经验"
,honeybee,蜜蜂,n.,"The busy honeybee flew quickly from flower to flower in the garden.
忙碌的蜜蜂在花园里飞快地从一朵花飞到另一朵花。","flew from...to... 从……飞向……
in the garden 在花园里"
,convergence,汇聚,n.,"The research team made significant progress in their study of climate models, indicating a convergence of their theories and empirical data.
研究团队在气候模型研究中取得了显著进展，这表明其理论与实证数据收敛。","make progress in 在……取得进展
study of ……的研究
convergence of ……的收敛"
/ˈpɑːli/,parley,谈判,n.,"The government has decided to hold a parley with the opposition party to negotiate a compromise.
政府决定与反对党进行谈判，以达成妥协。","decide to 决定
hold a parley with 与...举行谈判
negotiate a compromise 协商妥协"
,hipster,潮人,n.,"The cafe serves coffee in a vintage mug, which is a classic hipster move.
这家咖啡店用复古的马克杯提供咖啡，这是一个很典型的嬉皮士行为。","serve coffee 供应咖啡
in a vintage mug 在复古杯中
be a classic hipster move 是典型的嬉皮士行为"
,shampoo,洗发水,n.,"She washed her hair with shampoo every morning.
她每天早上都用洗发水洗头发。","wash one's hair 洗头发
with shampoo 用洗发水"
/ˈsemɪn(ə)l/,seminal,开创性的,adj.,"The company's innovative business model is considered seminal in the industry.
公司创新的商业模式被视为该行业的开创性典范。","be considered 被视为
business model 商业模式
in the industry 在行业内"
/skʌm/,scum,浮渣,n.,"The city streets have been overrun by scum during the riot.
暴乱期间，城市街道被暴徒占据。",be overrun by 被……占领
,sprayed,喷洒的,adj.,"She sprayed perfume on her wrist.
她喷了一些香水在手腕上。","spray perfume on 喷香水在……上
on the wrist 在手腕上"
/ˈpælətəb(ə)l/,palatable,可口的,adj.,"The dish was incredibly rich and had a savory flavor that was completely palatable to everyone.
这道菜风味极为浓郁，味道鲜美，所有人都觉得十分可口。","have a savory flavor 有鲜味
be palatable to 对……可口"
,mushy,糊状的,adj.,"The food at the restaurant was a little too mushy for my taste.
那家餐厅的食物对我来说有些过于软烂了。",for my taste 合我的口味
"英/ˈkɒmpɒst/
美/ˈkɑːmpoʊst/",compost,堆肥,n.,"The city will start a new compost program to reduce waste.
城市将开始一个新的堆肥计划，以减少废物。","start a program 开始一个项目
reduce waste 减少浪费"
,respire,呼吸,v.,"The air in the mountain village allowed for easier respiration.
山村空气清新，呼吸也更为轻松。","allow for 使得……可能；容许
in the mountain village 在山村"
,touchdown,触地得分,n.,"The quarterback threw a long pass that resulted in a thrilling touchdown.
四分卫扔了一个长传，导致了一个激动人心的达阵。","throw a long pass 传出一记长传球
result in 导致，造成"
,gale,大风,n.,"The storm brought a strong gale that knocked down trees.
风暴带来强风，吹倒了树木。",knock down 击倒；吹倒
,crater,火山口,n.,"The spacecraft landed in a large crater on the moon's surface.
该航天器降落在月球表面的一个大陨石坑中。","land in 降落在
on the moon's surface 在月球表面上"
,wetter,更湿的,adj.,"The forecast suggests a wetter weekend ahead.
天气预报表明即将到来的周末会更潮湿。",the weekend ahead 即将到来的周末
/ˈdaɪəri/,diary,日记,n.,"I keep a diary to record my daily thoughts and feelings.
我写日记来记录每天的思绪和感受。","keep a diary 记日记
record thoughts and feelings 记录思绪和感受"
,locomotion,运动,n.,"Animals have adapted various methods of locomotion to suit their environments.
动物已经演化出各种不同的移动方式来适应其所处的环境。","adapt methods 调整方法
methods of locomotion 移动方式
suit environments 适应环境"
,cabinet,橱柜,n.,"The new furniture included a large cabinet for the living room.
新家具中包括一个客厅用的大柜子。","include a large cabinet 包括一个大柜子
for the living room 用于客厅"
,campfire,篝火,n.,"Camping with friends under the starry sky, we sat around the campfire and shared stories.
在星空下与朋友一起露营时，我们围坐在营火旁，分享故事。","camp with 与...一起露营
under the starry sky 在星空下
sit around 围坐
share stories 分享故事"
/ˈjærəʊ/,yarrow,蓍草,n.,"The yarrow plant's unique flowers often attract butterflies.
蓍草独特的花朵常常吸引蝴蝶。",attract butterflies 吸引蝴蝶
,dweller,居民,n.,"The city's inhabitants were known as the dwellers of a crowded metropolis.
城中的居民被视为拥挤大都会的居民。",be known as 被称为
/ˈraɪpən/,ripen,成熟,v.,"The fruit will ripen if you leave it on the tree for a few more days.
水果如果留在树上几天就会成熟。","leave on the tree 留在树上
for a few more days 再过几天"
/ˈdefn/,deafen,使聋,v.,"The loud music in the concert was designed to deafen the audience.
音乐会响亮的音乐是为了使观众震耳欲聋。","be designed to 被设计来
deafen the audience 使听众耳聋"
/ˈdestɪn/,destine,注定,v.,"Their marriage was destine to be a happy one.
他们的婚姻注定会很幸福。",be destined to 注定会
,dislike,不喜欢,v.,"I dislike going to crowded restaurants because of the noisy atmosphere.
我不喜欢去拥挤的餐厅，因为环境嘈杂。","dislike doing 不喜欢做某事
go to 去
because of 因为"
/nɔː/,gnaw,啃,v.,"The mice began to gnaw through the wooden walls.
老鼠开始咬穿木墙。","begin to 开始（做某事）
gnaw through 咬穿"
,goldsmith,金匠,n.,"A skilled goldsmith carefully crafted the exquisite gold necklace.
一位技艺精湛的金匠精心打造了精致的黄金项链。","craft the exquisite gold necklace 打造精致的黄金项链
skilled goldsmith 技艺高超的金匠"
/ˈɡrænjuːl/,granule,颗粒,n.,"The pollen of the flower is composed of tiny granules.
花粉是由细微的颗粒组成的。",be composed of 由...组成
,lurk,潜伏,v.,"She often lurks in the shadows, watching people without being seen.
她常潜伏在暗处，悄无声息地观察着别人。","lurk in the shadows 潜伏在阴影中
without being seen 不被看见"
/maɪt/,mite,螨虫,n.,"A small mite of dust settled on the table.
一小片灰尘落在了桌子上。",settle on 落在
,munch,用力咀嚼,v.,"She started to munch on a handful of popcorn while watching the movie.
她一边看电影，一边大口嚼起一把爆米花。","munch on 大声嚼，吃
a handful of 一把
start to 开始做某事
watch a movie 看电影"
,accomplish,完成,v.,"She spent years working towards her goal and finally accomplished her dream.
她花了多年时间为她的目标努力，最终实现了她的梦想。","spend years working towards 花多年时间致力于
work towards one's goal 朝某个目标努力
accomplish one's dream 实现梦想"
,accommodation,住宿,n.,"The hotel staff arranged for an accommodation for the family of four.
酒店工作人员为一家四口安排了住处。",arrange for accommodation 安排住宿
,absence,缺席,n.,"Her absence was deeply felt at the office.
她在办公室的缺席被深深感受到。","be deeply felt 被深切感受到
at the office 在办公室"
,achievement,成就,n.,"Her outstanding achievement in the field of mathematics earned her a prestigious award.
她在数学领域取得的杰出成就为她赢得了一项享有盛誉的奖项。","in the field of 在……领域
earn an award 赢得奖项"
/æθˈletɪk/,athletic,运动的,adj.,"The young athlete trained tirelessly to improve her performance.
年轻运动员不知疲倦地训练以提高她的表现。","train tirelessly 不知疲倦地训练
improve performance 提高表现"
,forty,四十,n.,"The city has over forty thousand people living there.
这座城市有四万多人居住。","have a population of 有……人口
over forty thousand 四万多"
,influential,有影响力的,adj.,"She was a very influential figure in modern literature.
她是现代文学中极具影响力的人物。","influential figure 有影响力的人物
modern literature 当代文学
in modern literature 在当代文学中"
/ˈrɪðəm/,rhythm,节奏,n.,"The dancers moved in perfect rhythm to the music.
舞者们随着音乐，以完美的节奏翩翩起舞。",move to the music 随音乐舞动
/skeəd/,scared,害怕的,adj.,"She was scared when she walked through the dark forest alone.
她独自一人穿过黑暗的森林时感到害怕。",walk through 走过、穿过
,width,宽度,n.,"The room's width is greater than its length.
这间房间的宽度大于其长度。",be greater than 大于
,abandon,放弃,v.,"The company decided to abandon its plans for a new project due to financial constraints.
公司决定因财务限制而放弃对新项目的计划。","decide to 决定
abandon plans 放弃计划
due to 由于
financial constraints 财务限制"
/ˈweltə(r)/,welter,混乱,n.,"In the chaotic environment, she struggled to stay afloat in the welter of conflicting ideas.
她在混乱的环境中努力在冲突想法的纷乱中保持漂浮。","struggle to 努力做某事
stay afloat 保持不沉
in the chaotic environment 在混乱的环境中
conflicting ideas 冲突的想法"
,representational,具象的,adj.,"The new museum is known for its extensive collection of representational paintings from various European artists.
这家新博物馆以其广泛的欧洲艺术家具象绘画收藏而闻名。",be known for 以...闻名
/ˌjuːnɪvɜːˈsæləti/,universality,普遍性,n.,"The concept of love has achieved a certain level of universality across different cultures.
爱的概念已在不同文化中获得了一定的普遍性。","achieve a certain level of 达到一定程度的
across different cultures 在不同文化中"
/ˌpærəˈdɒksɪk(ə)l/,paradoxical,矛盾的,adj.,"The medication had a paradoxical effect on the patient, worsening their symptoms instead of alleviating them.
这种药物在患者身上产生了矛盾效应，症状反而恶化了。","have a paradoxical effect on 对……产生反常效果
worsen symptoms 使症状恶化
alleviate symptoms 缓解症状
instead of 而不是"
,henceforth,从此以后,adv.,"From now on, we will meet every Sunday morning to discuss our projects, henceforth every Sunday will be dedicated to teamwork.
从今以后，我们每周日早上都会聚会讨论项目，因此每个周日都将致力于团队合作。","from now on 从现在起
discuss projects 讨论项目
be dedicated to 致力于"
,tempt,诱惑,v.,"The beautiful dessert in the cafe was tempting her to buy one.
咖啡馆里诱人的甜点诱惑着她买一份。",tempt to buy 诱惑购买
,supersonic,超音速的,adj.,"The new military aircraft can travel at supersonic speeds, greatly increasing its mobility.
新型军用飞机可以以超音速飞行，从而大大提高其机动性。","travel at supersonic speeds 以超音速飞行
increase mobility 提高机动性"
/pænt/,pant,喘气,v.,"She put down her books so she could pant freely.
她放下书，以便她能自由地喘气。",put down 放下
,outset,开始,n.,"From the outset, the project seemed ambitious but achievable.
从一开始，这个项目看起来雄心勃勃，但却是可行的。","from the outset 从一开始
seem ambitious 看起来雄心勃勃"
,indifference,冷漠,n.,"Her indifference to the situation made it difficult for others to understand her point of view.
她对情况的漠不关心使得其他人很难理解她的观点。","indifference to 对……的漠不关心
make it difficult for 使得……困难
understand one's point of view 了解某人的观点"
/prəˈlɪfɪk/,prolific,多产的,adj.,"She is a prolific writer, having published over 50 books in her lifetime.
她是一位多产的作家，一生中出版了超过50本书。","a prolific writer 多产的作家
publish over 50 books 出版五十多本书
in her lifetime 在她的一生中"
/drəʊn/,drone,无人机,n.,"The drone flew over the vast desert.
无人机飞越了茫茫的沙漠。",fly over 飞越
,spectacle,景象,n.,"The fireworks display was a breathtaking spectacle in the night sky.
烟花表演在夜空中呈现出壮观的景象。","be a breathtaking spectacle 成为令人惊叹的景象
in the night sky 在夜空中"
,expressive,富有表现力的,adj.,"Her paintings are quite expressive, showcasing a wide range of emotions.
她的画作很有表现力，展示了丰富的情感。","be expressive 具有表达力
a wide range of 广泛的，各种各样的"
,colder,更冷的,adj.,"The weather forecast warned us that it's going to get colder tonight.
天气预报告知我们今晚将更冷。","warn sb. that 警告某人……
be going to 将要
get colder 变得更冷"
/ˈbiːtl/,beetle,甲虫,n.,"The beetle is an important food source for many birds and small mammals.
甲虫是许多鸟类和小型哺乳动物的重要食物来源。","be an important food source for 是……的重要食物来源
for many birds and small mammals 对于许多鸟类和小型哺乳动物"
"英/ˈkɒndjuɪt/
美/ˈkɑːnduɪt/",conduit,管道,n.,"The pipeline serves as a conduit for transporting oil from the refinery to the storage tanks.
输油管道作为将油从炼油厂输送到储油罐的通道。","serve as 充当，作为
transport oil 运输石油
from...to... 从...到..."
,successive,连续的,adj.,"The team played a series of successive matches against their arch-rivals.
该队与他们的老对手进行了一系列连续的比赛。","play against 与……比赛
a series of 一系列的"
/ˈlɪθiəm/,lithium,锂,n.,"Lithium batteries are widely used in portable electronic devices.
锂电池广泛应用于便携式电子设备。",be widely used in 被广泛使用于
,outward,向外的,adj.,"The city's main gate will face outward.
城市的主门朝外开。",face outward 朝向外部
/ˈherəld/,herald,先驱,n.,"The town crier served as the herald for the royal announcement.
公告员担任王室公告的传令官。",serve as 担任；作为
,comprehension,理解,n.,"She struggled to understand the complex plot due to a lack of comprehension.
她因理解力不足而难以理解复杂的情节。","struggle to 努力做某事
due to 由于
lack of 缺乏"
/ˈkɒmplɪmənt/,compliment,赞美,n.,"She gave him a warm compliment on his excellent cooking.
就他出色的烹饪给了他一个温暖的赞美。",give a compliment on 就……称赞
/əbˈseʃ(ə)n/,obsession,痴迷,n.,"His lifelong obsession with science fiction eventually led him to write his own novel.
他一生痴迷科幻小说，最终促使他创作了自己的小说。","obsession with 执迷于
lead to 导致
write a novel 写小说"
,suppress,压制,v.,The request was rejected because it was considered high risk,"try to suppress 试图压制
restrict access to 限制访问"
,consecutive,连续的,adj.,"The concert featured five consecutive sold-out performances.
该演唱会连续五场演出均售罄。","feature performances 举行演出
sold-out performances 爆满的演出"
,sweep,打扫,v.,"The wind began to sweep across the desert.
风开始横扫沙漠。",sweep across 刮过
,recreational,娱乐的,adj.,"The park offers various recreational activities for visitors to enjoy.
公园提供各式各样的娱乐活动让游客享受。","offer sth. for sb. to do 为某人提供某物供其做某事
enjoy sth. 享受某物
recreational activities 娱乐活动
various activities 各种活动"
,inspection,检查,n.,"They will conduct a thorough inspection of the building before allowing everyone to enter.
他们将在允许所有人进入之前，对建筑进行彻底的检查。","conduct a thorough inspection of 对……进行彻底检查
allow everyone to enter 允许所有人进入"
,extraction,提取,n.,"The process of extraction from the database took a significant amount of time.
数据提取过程耗费了大量时间。","take a significant amount of time 花费大量时间
extraction from the database 从数据库提取"
,insure,确保,v.,"She made sure to insure her expensive piano to protect against any damage or loss.
她确保为她昂贵的钢琴投保，以防遭受任何损伤或丢失。","make sure 确保
protect against 保护免受"
,monopoly,垄断,n.,"In the board game, players try to eliminate each other to gain a monopoly on the market.
在这局棋盘游戏中，玩家们试图互相淘汰，以获得市场垄断权。","try to 尝试
gain a monopoly on 获得垄断"
,publicity,宣传,n.,"The company decided to hire a public relations firm to generate good publicity for their new product.
公司决定聘请一家公关公司为新产品进行正面宣传。","decide to 决定做某事
generate publicity for 为……进行宣传"
,verse,诗句,n.,"She spent most of her free time writing poetry in verse.
她把大部分空闲时间都花在创作韵文诗上。","spend time doing sth. 花时间做某事
write poetry 写诗
in verse 以韵文形式"
,lone,孤独的,adj.,"The wolf remained a lone figure in the forest at night.
夜晚的森林中，那只狼仍是一个孤独的身影。","remain a lone figure 保持孤独的形象
in the forest 在森林里
at night 在夜间"
,thunder,雷声,n.,"The storm is approaching, and you can hear the thunder.
暴风雨正在接近，你可以听到雷声。","approach 接近
hear thunder 听到雷声"
/ɪmˈbɒs/,emboss,浮雕,v.,"The company's logo was prominently displayed and embossed on the new business cards.
公司的标志在新名片上被突出展示并凸印。","be displayed on 在……上展示
be embossed on 在……上凸印"
,folktale,民间故事,n.,"Many cultures have a rich collection of folktales that are passed down from generation to generation.
许多文化拥有代代相传的丰富民间故事集。","have a rich collection of 拥有丰富的收藏
pass down 传承
from generation to generation 世代相传"
/ɪɡˈzjuːbərənt/,exuberant,精力充沛的,adj.,"The children's joyful laughter filled the air as they played in the exuberant garden.
孩子们的欢笑声充满了空气，他们在繁茂的花园中玩耍。","fill the air 充满空气
play in the garden 在花园中玩耍"
,plankton,浮游生物,n.,"The ocean is home to a vast array of plankton.
海洋是多种多样浮游生物的家园。","be home to 是……的家园；存在
a vast array of 大量的；各种各样的"
,westerner,西方人,n.,"Westerners often prefer eating burgers and fries when traveling abroad.
西方人在出境旅行时常喜欢吃汉堡和薯条。","prefer eating 喜欢吃
travel abroad 出国旅行"
/səˈplɑːnt/,supplant,取代,v.,"The new employee's skills will eventually supplant those of her colleagues.
新员工的技能最终将取代同事们的能力。",supplant those of 取代……的
,laborious,费力的,adj.,"The researchers spent three years collecting data for their groundbreaking study, which was a laborious and challenging process.
研究人员花了三年时间为他们的突破性研究收集数据，这一过程非常费力且具有挑战性。","spend time collecting data 花费时间收集数据
collect data for 为……收集数据
be a laborious and challenging process 是一个繁琐而困难的过程"
